"game_id","season","type","date_time","away_team_id","home_team_id","away_goals","home_goals","outcome","home_rink_side_start","venue","venue_link","venue_time_zone_id","venue_time_zone_offset","venue_time_zone_tz"
"2013020983","20132014","R",2014-03-12,"22","30",4,3,"away win SO","right","Xcel Energy Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2013020955","20132014","R",2014-03-09,"4","10",3,4,"home win OT","right","Air Canada Centre","/api/v1/venues/null","America/Toronto",-4,"EDT"
"2013020985","20132014","R",2014-03-12,"6","8",4,1,"away win REG","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2012020298","20122013","R",2013-03-01,"17","28",2,1,"away win SO","left","HP Pavilion at San Jose","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2012020495","20122013","R",2013-03-28,"3","9",0,3,"home win REG","left","Scotiabank Place","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020793","20142015","R",2015-02-10,"26","29",4,3,"away win REG","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020700","20142015","R",2015-01-28,"14","12",2,4,"home win REG","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020201","20142015","R",2014-11-08,"53","24",3,2,"away win SO","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014021092","20142015","R",2015-03-24,"19","5",3,2,"away win OT","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020693","20142015","R",2015-01-22,"29","52",0,4,"home win REG","right","MTS Centre","/api/v1/venues/null","America/Winnipeg",-5,"CDT"
"2014020548","20142015","R",2015-01-01,"12","5",1,2,"home win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020434","20142015","R",2014-12-13,"24","22",4,2,"away win REG","left","Rexall Place","/api/v1/venues/null","America/Edmonton",-6,"MDT"
"2014020205","20142015","R",2014-11-09,"30","8",1,4,"home win REG","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2014020133","20142015","R",2014-10-29,"28","21",3,2,"away win SO","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020016","20142015","R",2014-10-10,"52","53",6,2,"away win REG","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2014021055","20142015","R",2015-03-19,"6","9",4,6,"home win REG","left","Canadian Tire Centre","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020411","20142015","R",2014-12-10,"4","29",2,3,"home win OT","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020889","20142015","R",2015-02-23,"14","21",4,5,"home win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020211","20142015","R",2014-11-09,"28","25",5,3,"away win REG","right","American Airlines Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020208","20142015","R",2014-11-09,"14","29",7,4,"away win REG","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020394","20142015","R",2014-12-07,"29","14",3,1,"away win REG","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020010","20142015","R",2014-10-09,"13","14",2,3,"home win OT","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020307","20142015","R",2014-11-23,"53","28",4,3,"away win SO","left","SAP Center at San Jose","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020903","20142015","R",2015-02-25,"13","16",2,3,"home win SO","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020526","20142015","R",2014-12-28,"28","26",1,3,"home win REG","right","STAPLES Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014021039","20142015","R",2015-03-17,"10","22",1,4,"home win REG","left","Rexall Place","/api/v1/venues/null","America/Edmonton",-6,"MDT"
"2014020650","20142015","R",2015-01-16,"17","19",3,2,"away win OT","left","Scottrade Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020861","20142015","R",2015-02-20,"7","4",3,2,"away win SO","right","Wells Fargo Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020331","20142015","R",2014-11-27,"20","28",2,0,"away win REG","left","SAP Center at San Jose","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020870","20142015","R",2015-02-21,"21","16",4,1,"away win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020643","20142015","R",2015-01-15,"1","26",5,3,"away win REG","right","STAPLES Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020427","20142015","R",2014-12-12,"2","19",3,6,"home win REG","left","Scottrade Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020671","20142015","R",2015-01-18,"20","28",4,3,"away win OT","left","SAP Center at San Jose","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020217","20142015","R",2014-11-10,"23","24",2,1,"away win SO","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014021215","20142015","R",2015-04-10,"7","29",2,4,"home win REG","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014021045","20142015","R",2015-03-18,"30","18",3,2,"away win OT","left","Bridgestone Arena","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014021063","20142015","R",2015-03-20,"1","7",3,1,"away win REG","left","First Niagara Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020902","20142015","R",2015-02-25,"25","52",2,4,"home win REG","right","MTS Centre","/api/v1/venues/null","America/Winnipeg",-5,"CDT"
"2014020444","20142015","R",2014-12-14,"30","53",4,3,"away win SO","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2014020827","20142015","R",2015-02-15,"1","18",1,3,"home win REG","left","Bridgestone Arena","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014021105","20142015","R",2015-03-26,"5","12",2,5,"home win REG","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020576","20142015","R",2015-01-04,"6","12",1,2,"home win SO","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020242","20142015","R",2014-11-15,"29","4",4,3,"away win REG","right","Wells Fargo Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020243","20142015","R",2014-11-15,"1","15",1,0,"away win REG","right","Verizon Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014021189","20142015","R",2015-04-07,"25","28",5,1,"away win REG","left","SAP Center at San Jose","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020528","20142015","R",2014-12-29,"23","24",1,2,"home win OT","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020212","20142015","R",2014-11-09,"2","53",1,0,"away win REG","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2014020261","20142015","R",2014-11-16,"52","30",3,4,"home win OT","right","Xcel Energy Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020716","20142015","R",2015-01-30,"17","14",1,5,"home win REG","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014021154","20142015","R",2015-04-02,"15","8",5,4,"away win SO","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2014020605","20142015","R",2015-01-09,"52","53",1,4,"home win REG","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2014020350","20142015","R",2014-11-30,"29","18",1,2,"home win REG","left","Bridgestone Arena","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020194","20142015","R",2014-11-07,"10","21",3,4,"home win SO","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020537","20142015","R",2014-12-30,"18","16",4,5,"home win SO","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014021059","20142015","R",2015-03-20,"5","25",1,2,"home win REG","right","American Airlines Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014021044","20142015","R",2015-03-17,"8","13",3,2,"away win REG","right","BB&T Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020253","20142015","R",2014-11-16,"2","14",2,5,"home win REG","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020353","20142015","R",2014-11-30,"20","53",3,0,"away win REG","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2014020486","20142015","R",2014-12-21,"3","12",3,2,"away win SO","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014021060","20142015","R",2015-03-20,"4","20",1,4,"home win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020766","20142015","R",2015-02-06,"12","53",2,1,"away win SO","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2014020552","20142015","R",2015-01-01,"28","24",3,0,"away win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020206","20142015","R",2014-11-09,"52","9",2,1,"away win SO","left","Canadian Tire Centre","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014021204","20142015","R",2015-04-09,"12","4",3,1,"away win REG","right","Wells Fargo Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020988","20142015","R",2015-03-10,"24","23",1,2,"home win REG","right","Rogers Arena","/api/v1/venues/null","America/Vancouver",-7,"PDT"
"2014020025","20142015","R",2014-10-11,"3","29",2,5,"home win REG","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020575","20142015","R",2015-01-04,"19","28",7,2,"away win REG","left","SAP Center at San Jose","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020613","20142015","R",2015-01-10,"6","4",3,1,"away win REG","right","Wells Fargo Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020823","20142015","R",2015-02-14,"22","9",2,7,"home win REG","left","Canadian Tire Centre","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020071","20142015","R",2014-10-19,"18","16",1,2,"home win OT","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020265","20142015","R",2014-11-17,"53","22",2,1,"away win REG","left","Rexall Place","/api/v1/venues/null","America/Edmonton",-6,"MDT"
"2014021014","20142015","R",2015-03-13,"25","15",4,2,"away win REG","right","Verizon Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020198","20142015","R",2014-11-08,"29","12",2,3,"home win OT","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020124","20142015","R",2014-10-28,"30","6",4,3,"away win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020999","20142015","R",2015-03-11,"7","10",3,4,"home win SO","right","Air Canada Centre","/api/v1/venues/null","America/Toronto",-4,"EDT"
"2014020771","20142015","R",2015-02-07,"16","52",2,1,"away win OT","right","MTS Centre","/api/v1/venues/null","America/Winnipeg",-5,"CDT"
"2014020465","20142015","R",2014-12-18,"6","30",3,2,"away win OT","right","Xcel Energy Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020694","20142015","R",2015-01-22,"6","21",2,3,"home win SO","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020926","20142015","R",2015-02-28,"1","29",2,0,"away win REG","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020451","20142015","R",2014-12-16,"1","2",2,3,"home win SO","left","Nassau Coliseum","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020404","20142015","R",2014-12-08,"23","9",3,4,"home win OT","left","Canadian Tire Centre","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020590","20142015","R",2015-01-07,"29","25",4,2,"away win REG","right","American Airlines Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020327","20142015","R",2014-11-27,"12","13",0,1,"home win REG","right","BB&T Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020263","20142015","R",2014-11-17,"25","16",2,6,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020865","20142015","R",2015-02-20,"28","25",5,2,"away win REG","right","American Airlines Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020270","20142015","R",2014-11-19,"17","29",5,0,"away win REG","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020799","20142015","R",2015-02-11,"22","2",2,3,"home win REG","left","Nassau Coliseum","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014021212","20142015","R",2015-04-10,"28","22",3,1,"away win REG","left","Rexall Place","/api/v1/venues/null","America/Edmonton",-6,"MDT"
"2014020998","20142015","R",2015-03-11,"26","21",5,2,"away win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020806","20142015","R",2015-02-12,"17","5",1,4,"home win REG","left","CONSOL Energy Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020677","20142015","R",2015-01-20,"12","10",4,1,"away win REG","right","Air Canada Centre","/api/v1/venues/null","America/Toronto",-4,"EDT"
"2014020906","20142015","R",2015-02-26,"5","15",4,3,"away win REG","right","Verizon Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020334","20142015","R",2014-11-28,"16","24",4,1,"away win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020734","20142015","R",2015-02-01,"25","52",5,2,"away win REG","right","MTS Centre","/api/v1/venues/null","America/Winnipeg",-5,"CDT"
"2014020932","20142015","R",2015-03-01,"9","28",4,2,"away win REG","left","SAP Center at San Jose","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020210","20142015","R",2014-11-09,"18","19",2,1,"away win REG","left","Scottrade Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020646","20142015","R",2015-01-16,"23","4",4,0,"away win REG","right","Wells Fargo Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020648","20142015","R",2015-01-16,"22","14",2,3,"home win REG","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020851","20142015","R",2015-02-18,"25","19",4,1,"away win REG","left","Scottrade Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014021126","20142015","R",2015-03-29,"7","21",3,5,"home win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020611","20142015","R",2015-01-10,"13","20",6,5,"away win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020997","20142015","R",2015-03-11,"1","30",2,6,"home win REG","right","Xcel Energy Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020304","20142015","R",2014-11-23,"12","21",3,4,"home win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020973","20142015","R",2015-03-08,"2","13",3,4,"home win SO","right","BB&T Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020831","20142015","R",2015-02-15,"23","20",2,3,"home win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020914","20142015","R",2015-02-27,"19","52",2,1,"away win SO","right","MTS Centre","/api/v1/venues/null","America/Winnipeg",-5,"CDT"
"2014021096","20142015","R",2015-03-25,"8","18",2,3,"home win OT","left","Bridgestone Arena","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020070","20142015","R",2014-10-19,"4","25",6,5,"away win OT","right","American Airlines Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014021147","20142015","R",2015-04-01,"23","18",5,4,"away win SO","left","Bridgestone Arena","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020873","20142015","R",2015-02-21,"2","15",2,3,"home win SO","right","Verizon Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020142","20142015","R",2014-10-30,"4","14",3,4,"home win REG","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014021224","20142015","R",2015-04-11,"17","12",2,0,"away win REG","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020079","20142015","R",2014-10-21,"28","6",3,5,"home win REG","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020770","20142015","R",2015-02-07,"19","29",1,7,"home win REG","left","Nationwide Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020670","20142015","R",2015-01-18,"24","26",3,2,"away win SO","right","STAPLES Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020348","20142015","R",2014-11-29,"4","3",2,5,"home win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020921","20142015","R",2015-02-28,"21","25",5,4,"away win SO","right","American Airlines Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020314","20142015","R",2014-11-25,"9","17",3,4,"home win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2014020164","20142015","R",2014-11-02,"17","7",2,3,"home win SO","left","First Niagara Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020300","20142015","R",2014-11-23,"29","4",2,4,"home win REG","right","Wells Fargo Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020303","20142015","R",2014-11-23,"26","25",4,5,"home win REG","right","American Airlines Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014021077","20142015","R",2015-03-22,"5","53",3,1,"away win REG","left","Gila River Arena","/api/v1/venues/null","America/Phoenix",-7,"MST"
"2014020466","20142015","R",2014-12-18,"25","23",2,0,"away win REG","right","Rogers Arena","/api/v1/venues/null","America/Vancouver",-7,"PDT"
"2014020287","20142015","R",2014-11-21,"16","20",4,3,"away win REG","right","Scotiabank Saddledome","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020247","20142015","R",2014-11-15,"53","23",5,0,"away win REG","right","Rogers Arena","/api/v1/venues/null","America/Vancouver",-7,"PDT"
"2014020508","20142015","R",2014-12-24,"7","17",3,6,"home win REG","right","Joe Louis Arena","/api/v1/venues/null","America/Detroit",-4,"EDT"
"2014020817","20142015","R",2015-02-13,"20","26",3,5,"home win REG","right","STAPLES Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020524","20142015","R",2014-12-28,"16","21",5,2,"away win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014020184","20142015","R",2014-11-06,"8","7",2,1,"away win SO","left","First Niagara Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020284","20142015","R",2014-11-21,"17","52",4,3,"away win REG","right","MTS Centre","/api/v1/venues/null","America/Winnipeg",-5,"CDT"
"2014021004","20142015","R",2015-03-12,"25","12",5,3,"away win REG","right","PNC Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020708","20142015","R",2015-01-29,"10","1",1,2,"home win SO","left","Prudential Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020439","20142015","R",2014-12-14,"16","2",2,3,"home win REG","left","Nassau Coliseum","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014021122","20142015","R",2015-03-28,"13","8",2,3,"home win OT","right","Centre Bell","/api/v1/venues/null","America/Montreal",-4,"EDT"
"2014020089","20142015","R",2014-11-09,"10","9",5,3,"away win REG","left","Canadian Tire Centre","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020955","20142015","R",2015-03-05,"8","24",1,3,"home win REG","left","Honda Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014021228","20142015","R",2015-04-12,"16","21",2,3,"home win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014021170","20142015","R",2015-04-04,"10","6",1,2,"home win SO","left","TD Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020317","20142015","R",2014-11-26,"9","19",3,2,"away win SO","left","Scottrade Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020250","20142015","R",2014-11-15,"24","26",2,3,"home win OT","right","STAPLES Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014021163","20142015","R",2015-04-03,"8","1",2,3,"home win SO","left","Prudential Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020029","20142015","R",2014-10-12,"30","21",3,0,"away win REG","right","Pepsi Center","/api/v1/venues/null","America/Denver",-6,"MDT"
"2014021072","20142015","R",2015-03-21,"2","1",3,0,"away win REG","left","Prudential Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020939","20142015","R",2015-03-03,"18","3",1,4,"home win REG","right","Madison Square Garden","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020495","20142015","R",2014-12-22,"10","16",0,4,"home win REG","right","United Center","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020715","20142015","R",2015-01-30,"25","9",6,3,"away win REG","left","Canadian Tire Centre","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020636","20142015","R",2015-01-14,"23","18",1,5,"home win REG","left","Bridgestone Arena","/api/v1/venues/null","America/Chicago",-5,"CDT"
"2014020963","20142015","R",2015-03-06,"8","26",3,4,"home win SO","right","STAPLES Center","/api/v1/venues/null","America/Los_Angeles",-7,"PDT"
"2014020846","20142015","R",2015-02-18,"7","1",1,2,"home win SO","left","Prudential Center","/api/v1/venues/null","America/New_York",-4,"EDT"
"2014020190","20142015","R",2014-11-07,"20","14",2,5,"home win REG","left","Amalie Arena","/api/v1/venues/null","America/New_York",-4,"EDT"
